IP:PORT, LOSS, DELAY
[2606:4700:d1::964d:6ba8:1a0b:794b]:2408,0.00%,155 ms
[2606:4700:d1::8f3e:c3b9:b55a:edbf]:2408,0.00%,155 ms
[2606:4700:d1::a397:fecc:3ac5:f15a]:2408,0.00%,155 ms
[2606:4700:d0::b793:2bed:c94d:9d45]:859,0.00%,155 ms
[2606:4700:d1::f196:f386:6d79:0279]:859,0.00%,155 ms
[2606:4700:d1::e2fa:4484:81d2:8800]:859,0.00%,155 ms
[2606:4700:d1::c5b8:315e:9af3:d070]:859,0.00%,155 ms
[2606:4700:d1::b32f:ee03:21ea:a265]:859,0.00%,155 ms
[2606:4700:d1::8d18:ec13:b147:7e38]:2408,0.00%,155 ms
[2606:4700:d1::b481:5e86:b1c8:c803]:2408,0.00%,156 ms
[2606:4700:d1::b4ca:5060:04fb:cdcd]:859,0.00%,156 ms
[2606:4700:d0::b793:2bed:c94d:9d45]:2408,0.00%,156 ms
[2606:4700:d1::8d18:ec13:b147:7e38]:859,0.00%,156 ms
[2606:4700:d1::a397:fecc:3ac5:f15a]:859,0.00%,156 ms
[2606:4700:d0::1c61:7340:1f1c:94d1]:2408,0.00%,156 ms
[2606:4700:d1::8f3e:c3b9:b55a:edbf]:859,0.00%,156 ms
[2606:4700:d0::e7c0:ade0:e279:3ff6]:859,0.00%,156 ms
[2606:4700:d1::6fb6:7c2d:604e:ea0a]:2408,0.00%,156 ms
[2606:4700:d1::95b9:e282:115e:8d2a]:2408,0.00%,156 ms
[2606:4700:d1::f6c8:d202:c0d9:795b]:859,0.00%,156 ms
[2606:4700:d0::2ac7:43db:1e7c:eb77]:2408,0.00%,156 ms
[2606:4700:d1::16bd:87c6:a6d6:d24f]:859,0.00%,156 ms
[2606:4700:d1::e844:b435:c19a:9c20]:2408,0.00%,156 ms
[2606:4700:d0::18d0:378e:fd11:a3f7]:2408,0.00%,156 ms
[2606:4700:d1::75ea:2662:8419:6035]:859,0.00%,156 ms
[2606:4700:d1::29a4:41f0:ed52:1479]:859,0.00%,156 ms
[2606:4700:d1::5a00:aaad:f681:df2f]:859,0.00%,156 ms
[2606:4700:d1::5a00:aaad:f681:df2f]:2408,0.00%,157 ms
[2606:4700:d0::c2d7:c210:13e8:f9a9]:859,0.00%,157 ms
[2606:4700:d1::16bd:87c6:a6d6:d24f]:2408,0.00%,157 ms
[2606:4700:d1::5403:72a6:7895:7cc0]:2408,0.00%,157 ms
[2606:4700:d0::5508:4904:d92b:1e88]:2408,0.00%,157 ms
[2606:4700:d1::61b9:a9df:effa:5fe8]:859,0.00%,157 ms
[2606:4700:d0::2ac7:43db:1e7c:eb77]:859,0.00%,157 ms
[2606:4700:d1::4b62:4b1d:1f78:8c5c]:859,0.00%,157 ms
[2606:4700:d1::4849:9d84:49c0:adbd]:2408,0.00%,157 ms
[2606:4700:d1::9351:3964:6ee4:edfb]:2408,0.00%,157 ms
[2606:4700:d0::2d6d:8830:e2e2:efd0]:859,0.00%,157 ms
[2606:4700:d0::2d6d:8830:e2e2:efd0]:2408,0.00%,157 ms
[2606:4700:d1::7af2:7dfa:474f:d33b]:2408,0.00%,157 ms
[2606:4700:d1::197d:9d44:6ca4:77cf]:859,0.00%,157 ms
