IP:PORT,Delay(ms)
162.159.192.109:1701,152
162.159.192.146:2371,152
162.159.192.161:946,153
162.159.192.210:891,153
162.159.192.178:890,153
162.159.192.149:3138,153
162.159.192.120:943,153
162.159.192.214:891,153
162.159.192.56:7281,153
162.159.192.115:5279,153
162.159.192.88:946,153
162.159.192.149:908,153
162.159.192.225:955,153
162.159.192.178:943,153
162.159.192.12:864,153
162.159.192.108:2408,153
162.159.192.109:1018,153
162.159.192.179:1180,153
162.159.192.146:943,153
162.159.192.165:939,153
162.159.192.106:1010,153
162.159.192.172:3138,153
162.159.192.68:2371,153
162.159.192.113:890,153
162.159.192.135:8854,153
162.159.192.138:4198,153
162.159.192.229:4177,153
162.159.192.160:4500,153
162.159.192.159:928,153
162.159.192.147:5956,153
162.159.192.32:8886,153
162.159.192.58:859,153
162.159.192.115:880,153
162.159.192.184:864,153
162.159.192.135:890,153
162.159.192.47:1014,153
162.159.192.192:939,153
162.159.192.189:2506,153
162.159.192.172:1387,153
162.159.192.28:908,153
162.159.192.66:1018,153
162.159.192.116:890,153
162.159.192.61:7559,153
162.159.192.13:928,153
162.159.192.77:1014,153
162.159.192.93:3476,153
162.159.192.122:894,153
162.159.192.41:1018,153
162.159.192.212:942,153
162.159.192.131:859,153
162.159.192.51:8854,153
162.159.192.145:8854,153
162.159.192.210:5279,153
162.159.192.69:1070,153
162.159.192.149:7152,153
162.159.192.64:4177,153
162.159.192.106:955,153
162.159.192.149:854,153
162.159.192.162:987,153
162.159.192.232:1018,153
162.159.192.189:5279,153
162.159.192.216:7559,153
162.159.192.110:908,153
162.159.192.145:4198,153
162.159.192.215:890,153
162.159.192.214:8886,153
162.159.192.186:878,153
162.159.192.198:7156,153
162.159.192.223:878,153
162.159.192.12:946,153
162.159.192.62:942,153
162.159.192.138:968,153
162.159.192.225:1070,153
162.159.192.109:8742,153
162.159.192.209:928,153
162.159.192.159:1010,153
162.159.192.34:908,153
162.159.192.122:5279,153
162.159.192.209:7103,153
162.159.192.210:8742,153
162.159.192.184:1180,153
162.159.192.225:1014,153
162.159.192.14:928,153
162.159.192.209:3138,153
162.159.192.234:942,153
162.159.192.15:8742,153
162.159.192.160:988,153
162.159.192.149:4233,153
162.159.192.217:4500,153
162.159.192.167:1701,153
162.159.192.216:4177,153
162.159.192.163:5956,153
162.159.192.149:1070,153
162.159.192.252:878,153
162.159.192.146:4500,153
162.159.192.131:5279,153
162.159.192.107:500,153
162.159.192.108:7559,153
162.159.192.51:946,153
162.159.192.23:500,153
162.159.192.252:945,153
162.159.192.189:7281,153
162.159.192.82:1387,153
162.159.192.241:5956,153
162.159.192.159:891,153
162.159.192.240:1843,153
162.159.192.34:4177,153
162.159.192.252:943,153
162.159.192.225:1018,153
162.159.192.189:2408,153
162.159.192.23:5956,153
162.159.192.202:3581,153
162.159.192.215:1010,153
162.159.192.187:988,153
162.159.192.51:1387,153
162.159.192.109:945,153
162.159.192.161:891,153
162.159.192.83:5956,153
162.159.192.250:5956,153
162.159.192.106:7281,153
162.159.192.148:8742,153
162.159.192.147:946,153
162.159.192.108:903,153
162.159.192.41:943,154
162.159.192.20:4177,154
162.159.192.135:4500,154
162.159.192.62:880,154
162.159.192.67:5956,154
162.159.192.136:4177,154
162.159.192.52:943,154
162.159.192.61:7156,154
162.159.192.229:7559,154
162.159.192.56:943,154
162.159.192.62:859,154
162.159.192.184:500,154
162.159.192.26:1014,154
162.159.192.181:988,154
162.159.192.158:864,154
162.159.192.23:2371,154
162.159.192.92:880,154
162.159.192.187:1074,154
162.159.192.32:1387,154
162.159.192.136:1074,154
162.159.192.109:880,154
162.159.192.22:2408,154
162.159.192.249:955,154
162.159.192.35:988,154
162.159.192.223:934,154
162.159.192.201:987,154
162.159.192.218:7559,154
162.159.192.122:928,154
162.159.192.47:7103,154
162.159.192.52:928,154
162.159.192.235:943,154
162.159.192.238:1010,154
162.159.192.192:988,154
162.159.192.138:1180,154
162.159.192.187:4198,154
162.159.192.239:3854,154
162.159.192.82:3476,154
162.159.192.139:3138,154
162.159.192.75:1014,154
162.159.192.179:5956,154
162.159.192.210:934,154
162.159.192.159:894,154
162.159.192.229:864,154
162.159.192.218:1018,154
162.159.192.102:939,154
162.159.192.88:8742,154
162.159.192.178:1010,154
162.159.192.20:955,154
162.159.192.161:1180,154
162.159.192.139:864,154
162.159.192.216:3138,154
162.159.192.216:1010,154
162.159.192.78:4500,154
162.159.192.143:4500,154
162.159.192.193:7152,154
162.159.192.249:880,154
162.159.192.240:943,154
162.159.192.163:1074,154
162.159.192.13:880,154
162.159.192.79:4233,154
162.159.192.34:1014,154
162.159.192.189:3854,154
162.159.192.96:1387,154
162.159.192.110:943,154
162.159.192.211:4500,154
162.159.192.178:2408,154
162.159.192.136:7152,154
162.159.192.23:894,154
162.159.192.234:1018,154
162.159.192.52:968,154
162.159.192.239:1843,154
162.159.192.77:859,154
162.159.192.187:943,154
162.159.192.53:7281,154
162.159.192.44:1180,154
162.159.192.224:903,154
162.159.192.46:500,154
162.159.192.109:3581,154
162.159.192.172:939,154
162.159.192.54:4198,154
162.159.192.227:5956,154
162.159.192.207:1180,154
162.159.192.52:3476,154
162.159.192.95:928,154
162.159.192.38:7103,154
162.159.192.225:968,154
162.159.192.203:928,154
162.159.192.217:934,154
162.159.192.23:880,154
162.159.192.161:4177,154
162.159.192.203:3138,154
162.159.192.54:500,154
162.159.192.234:3581,154
162.159.192.241:1014,154
162.159.192.163:880,154
162.159.192.214:946,154
162.159.192.134:5956,154
162.159.192.87:903,154
162.159.192.154:5956,154
162.159.192.160:2506,154
162.159.192.18:928,154
162.159.192.145:1701,154
162.159.192.226:7103,154
162.159.192.76:890,154
162.159.192.215:2371,154
162.159.192.218:928,154
162.159.192.223:4500,154
162.159.192.150:3476,154
162.159.192.215:1070,154
162.159.192.110:4177,154
162.159.192.166:1701,154
162.159.192.75:939,154
162.159.192.191:1014,154
162.159.192.138:878,154
162.159.192.118:1010,154
162.159.192.61:7152,154
162.159.192.240:1074,154
162.159.192.177:4177,154
162.159.192.47:878,154
162.159.192.253:928,154
162.159.192.118:3581,154
162.159.192.41:1843,154
162.159.192.150:4500,154
162.159.192.51:945,154
162.159.192.40:968,154
162.159.192.17:8319,154
162.159.192.215:3138,154
162.159.192.146:908,154
162.159.192.193:864,154
162.159.192.161:903,154
162.159.192.59:934,154
162.159.192.44:942,154
162.159.192.116:8319,154
162.159.192.178:946,154
162.159.192.167:8319,154
162.159.192.163:7103,154
162.159.192.116:891,154
162.159.192.182:4198,154
162.159.192.107:1070,154
162.159.192.19:859,154
162.159.192.205:3581,154
162.159.192.152:943,154
162.159.192.251:8854,154
162.159.192.116:1074,154
162.159.192.146:854,154
162.159.192.57:1074,154
162.159.192.31:1387,154
162.159.192.24:3581,154
162.159.192.55:7559,154
162.159.192.221:1070,154
162.159.192.137:8886,154
162.159.192.122:1843,154
162.159.192.149:891,154
162.159.192.175:1074,154
162.159.192.116:8742,154
162.159.192.116:1180,154
162.159.192.151:7281,154
162.159.192.44:928,154
162.159.192.93:854,154
162.159.192.121:894,154
162.159.192.231:4233,154
162.159.192.190:891,154
162.159.192.149:1018,154
162.159.192.217:8742,154
162.159.192.165:942,154
162.159.192.207:903,154
162.159.192.232:1180,154
162.159.192.241:8319,154
162.159.192.15:3138,154
162.159.192.226:8742,154
162.159.192.178:2371,154
162.159.192.99:7152,154
162.159.192.46:2506,154
162.159.192.40:2371,155
162.159.192.226:987,155
162.159.192.32:894,155
162.159.192.156:3138,155
162.159.192.204:903,155
162.159.192.198:945,155
162.159.192.195:894,155
162.159.192.34:7156,155
162.159.192.83:878,155
162.159.192.246:934,155
162.159.192.59:1180,155
162.159.192.158:1070,155
162.159.192.67:880,155
162.159.192.119:1070,155
162.159.192.136:3854,155
162.159.192.191:1180,155
162.159.192.44:7103,155
162.159.192.125:878,155
162.159.192.109:2371,155
162.159.192.160:1701,155
162.159.192.170:3854,155
162.159.192.62:934,155
162.159.192.25:3138,155
162.159.192.5:4198,155
162.159.192.161:7281,155
162.159.192.240:1002,155
162.159.192.73:1843,155
162.159.192.204:7281,155
162.159.192.186:934,155
162.159.192.224:3581,155
162.159.192.123:8319,155
162.159.192.55:8886,155
162.159.192.239:859,155
162.159.192.235:8854,155
162.159.192.208:1843,155
162.159.192.164:908,155
162.159.192.111:987,155
162.159.192.177:3581,155
162.159.192.159:903,155
162.159.192.215:1701,155
162.159.192.59:854,155
162.159.192.0:1180,155
162.159.192.22:4198,155
162.159.192.12:500,155
162.159.192.116:894,155
162.159.192.54:1701,155
162.159.192.17:1070,155
162.159.192.145:988,155
162.159.192.20:7281,155
162.159.192.215:1014,155
162.159.192.187:3854,155
162.159.192.95:955,155
162.159.192.139:939,155
162.159.192.177:945,155
162.159.192.152:7152,155
162.159.192.151:988,155
162.159.192.199:942,155
162.159.192.25:1074,155
162.159.192.111:1701,155
162.159.192.149:1002,155
162.159.192.193:3854,155
162.159.192.246:864,155
162.159.192.134:987,155
162.159.192.32:3854,155
162.159.192.73:4500,155
162.159.192.221:864,155
162.159.192.193:945,155
162.159.192.54:3854,155
162.159.192.172:4177,155
162.159.192.178:3138,155
162.159.192.217:7156,155
162.159.192.17:1843,155
162.159.192.80:8319,155
162.159.192.156:945,155
162.159.192.221:2506,155
162.159.192.79:500,155
162.159.192.231:4177,155
162.159.192.234:500,155
162.159.192.193:1014,155
162.159.192.253:1014,155
162.159.192.138:2408,155
162.159.192.195:2408,155
162.159.192.82:7152,155
162.159.192.80:7559,155
162.159.192.132:988,155
162.159.192.170:8742,155
